company_names,cars_names,car_types,engines,fuel_types_cleaned,cc_battery_capacity,horsepower,total_speed,performance_0_100_km/h,seats,torque,cars_prices_cad,cars_prices_usd
AUDI,S3 SEDAN,sedan,I4,gas,1984 cc,306.0,250.0,4.8,5.0,400.0,70200.0,52000.0
AUDI,Q7,suv,V6,gas,2995 cc,335.0,250.0,6.3,7.0,600.0,81000.0,60000.0
AUDI,Q5,sedan,I4,gas,1984 cc,248.0,240.0,6.3,5.0,500.0,58050.0,43000.0
AUDI,A7,sedan,V6,gas,2995 cc,335.0,250.0,5.7,5.0,600.0,91800.0,68000.0
AUDI,A6,sedan,V6,gas,2995 cc,335.0,250.0,5.7,5.0,600.0,78300.0,58000.0
AUDI,A5 COUPE,sports,I4,gas,1984 cc,248.0,240.0,6.3,4.0,500.0,60750.0,45000.0
AUDI,A4,sedan,I4,gas,1984 cc,248.0,240.0,6.5,5.0,400.0,52650.0,39000.0
AUDI,Q3,sedan,I4,gas,1984 cc,248.0,230.0,7.3,5.0,400.0,47250.0,35000.0
AUDI,E-TRON,sedan,ELECTRIC ,electric,95 kwh,402.0,200.0,5.5,5.0,664.0,101250.0,75000.0
AUDI,E-TRON SPORTBACK,sedan,ELECTRIC,electric,95 kwh,402.0,200.0,5.5,5.0,664.0,105300.0,78000.0
AUDI,TT COUPE,sports,I4,gas,1984 cc,248.0,250.0,5.3,2.0,400.0,66150.0,49000.0
BMW,I8 ROADSTER,sports,ELECTRIC MOTOR,hybrid,11.6 kwh,369.0,250.0,4.4,2.0,570.0,222750.0,165000.0
BMW,330i,sedan,I4,gas,1998 cc,255.0,250.0,5.6,5.0,400.0,60750.0,45000.0
BMW,M340i XDRIVE,sedan,I6,gas,2998 cc,382.0,250.0,4.1,5.0,500.0,76950.0,57000.0
BMW,430i COUPE,sports,I4,gas,1998 cc,255.0,250.0,5.8,4.0,400.0,64800.0,48000.0
BMW,M4 COMPETITION,sports,I6,gas,2993 cc,503.0,290.0,3.8,4.0,650.0,109350.0,81000.0
BMW,530i,sedan,I4,gas,1998 cc,248.0,250.0,5.9,5.0,400.0,76950.0,57000.0
BMW,M550i XDRIVE,sports,V8,gas,4395 cc,523.0,250.0,3.6,5.0,650.0,105300.0,78000.0
BMW,118i,sedan,I3,gas,1499 cc,136.0,213.0,8.5,5.0,220.0,43200.0,32000.0
BMW,128ti,sedan,I4,gas,1998 cc,261.0,250.0,6.1,5.0,400.0,56700.0,42000.0
BMW,M135i XDRIVE,sedan,I4,gas,1998 cc,302.0,250.0,4.8,5.0,450.0,40500.0,30000.0
BMW,116D,sedan,I3,gas,1496 cc,116.0,200.0,10.3,5.0,280.0,40500.0,30000.0
BMW,120D XDRIVE,sedan,I4,gas,1995 cc,190.0,230.0,6.9,5.0,400.0,51300.0,38000.0
BMW,116i,sedan,I3,gas,1499 cc,109.0,200.0,10.9,5.0,200.0,37800.0,28000.0
BMW,118D,sedan,I4,gas,1995 cc,150.0,216.0,8.4,5.0,380.0,45900.0,34000.0
BMW,120i,sedan,I4,gas,1998 cc,178.0,230.0,7.1,5.0,300.0,49950.0,37000.0
BMW,125i,sedan,I4,gas,1998 cc,224.0,240.0,6.1,5.0,400.0,56700.0,42000.0
BMW,114D,others,I3,gas,1496 cc,95.0,185.0,12.2,5.0,270.0,36450.0,27000.0
BMW,114i,sedan,I4,gas,1598 cc,102.0,195.0,11.2,5.0,200.0,35100.0,26000.0
BMW,125D,sedan,I4,gas,1995 cc,224.0,240.0,6.3,5.0,400.0,59400.0,44000.0
BMW,118i XDRIVE,sedan,I3,gas,1499 cc,136.0,211.0,8.9,5.0,250.0,45900.0,34000.0
BMW,116D EFFICIENTDYNAMICS,sedan,I3,gas,1496 cc,116.0,200.0,10.9,5.0,270.0,40500.0,30000.0
BMW,118i SPORTLINE,sedan,I3,gas,1499 cc,136.0,213.0,8.5,5.0,250.0,47250.0,35000.0
BMW,118i M SPORT,sedan,I3,gas,1499 cc,136.0,213.0,8.5,5.0,250.0,49950.0,37000.0
BMW,120i M SPORT,sedan,I4,gas,1998 cc,178.0,230.0,7.1,5.0,300.0,52650.0,39000.0
BMW,116i EFFICIENTDYNAMICS,sedan,I4,gas,1598 cc,109.0,195.0,10.9,5.0,200.0,39150.0,29000.0
BMW,116D ADVANTAGE,sedan,I3,gas,1496 cc,116.0,200.0,10.5,5.0,270.0,41850.0,31000.0
BMW,120D EFFICIENTDYNAMICS,sedan,I4,gas,1995 cc,163.0,225.0,7.7,5.0,400.0,52650.0,39000.0
BMW,118i SHADOW LINE,sedan,I3,gas,1499 cc,136.0,213.0,8.5,5.0,250.0,48600.0,36000.0
BMW,118D SPORT LINE,sedan,I4,gas,1995 cc,150.0,216.0,8.4,5.0,380.0,48600.0,36000.0
BMW,120i XDRIVE,sedan,I4,gas,1998 cc,178.0,230.0,7.2,5.0,300.0,54000.0,40000.0
BMW,114D SPORT LINE,others,I3,gas,1496 cc,95.0,185.0,12.2,5.0,270.0,37800.0,28000.0
BMW,118i URBAN LINE,sedan,I3,gas,1499 cc,136.0,213.0,8.5,5.0,250.0,47250.0,35000.0
VOLVO,XC90,suv,I6,gas,1969 cc,247.0,200.0,6.5,7.0,400.0,81000.0,60000.0
VOLVO,XC60,sedan,I6,gas,1969 cc,247.0,220.0,6.4,5.0,400.0,74250.0,55000.0
VOLVO,S90,sedan,I6,gas,1969 cc,295.0,250.0,5.9,5.0,400.0,81000.0,60000.0
KIA,SPORTAGE LX,sedan,I4,gas,2480 cc,187.0,200.0,8.0,5.0,250.0,36450.0,27000.0
KIA,SPORTAGE EX,sedan,I4,gas,2480 cc,187.0,200.0,8.0,5.0,250.0,40500.0,30000.0
KIA,SPORTAGE GT-LINE,sedan,I4,gas,2480 cc,187.0,200.0,8.0,5.0,350.0,43200.0,32000.0
KIA,SPORTAGE SX TURBO,sedan,I4,gas,1998 cc,240.0,210.0,6.7,5.0,400.0,48600.0,36000.0
KIA,SPORTAGE NIGHTFALL EDITION,sedan,I4,gas,2480 cc,187.0,200.0,8.0,5.0,350.0,44550.0,33000.0
HONDA,CIVIC TYPE R,sedan,I4,gas,1996 cc,315.0,272.0,5.7,5.0,400.0,59400.0,44000.0
KIA,SPORTAGE PHEV,sedan,I4 + ELECTRIC,hybrid,1600 cc / 13.8 kwh,261.0,180.0,8.0,5.0,350.0,55350.0,41000.0
KIA,SPORTAGE 2024(BASE MODEL),sedan,I4,gas,2480 cc,187.0,200.0,8.0,5.0,250.0,35100.0,26000.0
KIA,SPORTAGE 2024(TOP TRIM),sedan,I4,gas,1998 cc,240.0,210.0,6.7,5.0,400.0,51300.0,38000.0
KIA,SPORTAGE 2024(BASE AWD),sedan,I4,gas,2480 cc,187.0,200.0,8.3,5.0,250.0,39150.0,29000.0
KIA,SPORTAGE X-LINE,sedan,I4,gas,2480 cc,187.0,200.0,8.0,5.0,350.0,43875.0,32500.0
KIA,SPORTAGE 2024(S TRIM),sedan,I4,gas,2480 cc,187.0,200.0,8.2,5.0,250.0,37800.0,28000.0
HONDA,ACCORD,sedan,I4,gas,1498 cc,192.0,201.0,7.1,5.0,370.0,39690.0,29400.0
KIA,SPORTAGE 2024(HYBRID AWD),sedan,I4 + ELECTRIC,hybrid,1600 cc / 1.49 kwh,227.0,180.0,8.0,5.0,350.0,49950.0,37000.0
KIA,SPORTAGE 2024(PLUG-IN HYBRID AWD),sedan,I4 + ELECTRIC,hybrid,1598 cc / 13.8 kwh,261.0,180.0,7.9,5.0,350.0,56700.0,42000.0
KIA,SPORTAGE 2024(X-PRO),sedan,I4,gas,2480 cc,187.0,200.0,8.1,5.0,400.0,48600.0,36000.0
KIA,SPORTAGE 2024(X-PRO PRESTIGE),sedan,I4,gas,2480 cc,187.0,200.0,8.1,5.0,400.0,51300.0,38000.0
KIA,SPORTAGE 2024(SX TURBO AWD),sedan,I4,gas,1998 cc,240.0,210.0,6.5,5.0,400.0,54000.0,40000.0
KIA  ,SPORTAGE 2024(BASE FWD),sedan,I4,gas,2480 cc,187.0,200.0,8.5,5.0,250.0,35775.0,26500.0
HONDA,CR-V,sedan,I4,gas,1498 cc,190.0,186.0,8.2,5.0,400.0,40500.0,30000.0
HONDA,PILOT,others,V6,gas,3471 cc,285.0,209.0,6.3,8.0,360.0,54000.0,40000.0
HONDA,CIVIC HATCHBACK,sedan,I4,gas,1498 cc,180.0,220.0,6.8,5.0,300.0,35572.5,26350.0
TOYOTA,CAMRY,sedan,V6,gas,3500 cc,301.0,220.0,6.0,5.0,250.0,36450.0,27000.0
TOYOTA,COROLLA,sedan,I4,gas,1798 cc,139.0,180.0,9.4,5.0,200.0,30375.0,22500.0
TOYOTA,PRIUS,sedan,I4,hybrid,1798 cc,121.0,180.0,10.5,5.0,142.0,36045.0,26700.0
TOYOTA,RAV4,sedan,I4,gas,2494 cc,203.0,200.0,8.1,5.0,400.0,36585.0,27100.0
TOYOTA,HIGHLANDER,suv,V6,gas,3456 cc,295.0,220.0,7.2,7.0,370.0,51840.0,38400.0
TOYOTA,4RUNNER ,sedan,V6,gas,3956 cc,270.0,200.0,7.5,5.0,400.0,50490.0,37400.0
TOYOTA,TACOMA,sedan,I4,gas,2694 cc,159.0,180.0,9.5,5.0,400.0,35640.0,26400.0
TOYOTA,TUNDRA,sedan,V8,gas,5663 cc,381.0,220.0,6.7,5.0,650.0,53865.0,39900.0
TOYOTA,AVALON,sedan,V6,gas,3456 cc,301.0,220.0,6.9,5.0,400.0,55890.0,41400.0
TOYOTA,MIRAI,sedan,I4,electric,1798 cc,151.0,180.0,9.2,5.0,335.0,70740.0,52400.0
TOYOTA,SIENNA,suv,V6,gas,2494 cc,245.0,190.0,8.0,7.0,360.0,59602.5,44150.0
TOYOTA,VENZA,sedan,I4,hybrid,2494 cc,219.0,200.0,7.5,5.0,400.0,45090.0,33400.0
TOYOTA,HIGHLANDER HYBRID,suv,V6,hybrid,3456 cc,240.0,220.0,8.2,7.0,350.0,54540.0,40400.0
TOYOTA,LAND CRUISER PRADO,suv,V6,gas,3956 cc,282.0,200.0,7.2,7.0,450.0,66690.0,49400.0
TOYOTA,TUNDRA HYBRID,sedan,V6,hybrid,3456 cc,344.0,220.0,6.2,5.0,650.0,58590.0,43400.0
TOYOTA,YARIS,sedan,I4,gas,1496 cc,106.0,180.0,11.2,5.0,150.0,24840.0,18400.0
TOYOTA,C-HR,sedan,I4,gas,1986 cc,144.0,200.0,10.2,5.0,250.0,32940.0,24400.0
TOYOTA,BZ4X,sedan,ELECTRIC,electric,64.8 kwh (Base Model)72.8 kwh (Higher End Model,218.0,200.0,7.5,5.0,330.0,58590.0,43400.0
TOYOTA,CROWN,sedan,HYBRID,hybrid,2494 cc,236.0,200.0,7.6,5.0,400.0,51840.0,38400.0
TOYOTA,MR2,sedan,I4,gas,1986 cc,168.0,200.0,6.9,2.0,400.0,39150.0,29000.0
